"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050657","GO:0050657","nucleic acid transport","48/3308","167/18860",0.287425149700599,1.63870566002216,3.82356479514457,0.000228343693380573,0.00906405842620417,0.00800841757167272,"ALKBH5/ALYREF/ATXN2/DDX25/DDX39A/DDX39B/DHX9/FMR1/FXR2/FYTTD1/G3BP2/GLE1/HNRNPA1/HSF1/IWS1/KHDRBS1/KHSRP/NSUN2/NUP107/NUP155/NUP210/NUP214/NUP50/NUP62/NXF1/PCID2/QKI/RAE1/RAN/RANBP2/RBFOX1/RBM33/SEH1L/SENP2/SLBP/SMG6/SMG7/SRSF1/THOC3/THOC6/TOMM20/UPF1/UPF2/XPO5/YBX1/YTHDC1/ZC3H3/ZFP36L1",48
"GO:0050658","GO:0050658","RNA transport","48/3308","167/18860",0.287425149700599,1.63870566002216,3.82356479514457,0.000228343693380573,0.00906405842620417,0.00800841757167272,"ALKBH5/ALYREF/ATXN2/DDX25/DDX39A/DDX39B/DHX9/FMR1/FXR2/FYTTD1/G3BP2/GLE1/HNRNPA1/HSF1/IWS1/KHDRBS1/KHSRP/NSUN2/NUP107/NUP155/NUP210/NUP214/NUP50/NUP62/NXF1/PCID2/QKI/RAE1/RAN/RANBP2/RBFOX1/RBM33/SEH1L/SENP2/SLBP/SMG6/SMG7/SRSF1/THOC3/THOC6/TOMM20/UPF1/UPF2/XPO5/YBX1/YTHDC1/ZC3H3/ZFP36L1",48
"GO:0051494","GO:0051494","negative regulation of cytoskeleton organization","48/3308","167/18860",0.287425149700599,1.63870566002216,3.82356479514457,0.000228343693380573,0.00906405842620417,0.00800841757167272,"APC/APC2/ARAP1/ARHGAP28/ARHGEF18/BBOF1/CAPG/CAPZA1/CAPZA2/CARMIL2/CCDC88C/CCNF/CFL1/CKAP2/CLASP1/CLIP3/CTNNA2/CYRIB/DYRK1A/EML2/FKBP4/HDGFL3/INPP5K/KANK1/KANK2/KANK3/MDM1/MTPN/NPM1/NUBP1/PFN1/PRKN/RBM14/RHPN1/SMAD4/SPECC1L/SPTAN1/SPTBN1/SPTBN2/SPTBN4/SSH1/SSH2/SVIL/TAOK1/TMOD3/TRIM37/TTBK2/TWF2",48
"GO:0006270","GO:0006270","DNA replication initiation","16/3308","37/18860",0.432432432432432,2.46544004706036,4.11503424227083,0.000237647226890847,0.00937249998699192,0.00828093664636289,"CCNE2/CDC34/CDC45/CDC6/CDT1/GMNN/KAT7/LRWD1/MCM2/MCM4/MCM6/ORC6/POLA1/POLA2/PRIM1/WRNIP1",16
"GO:0048193","GO:0048193","Golgi vesicle transport","81/3308","319/18860",0.253918495297806,1.44767316242945,3.71910792290322,0.000244404401245613,0.00957720580009251,0.00846180150331471,"AKT1/ARF4/ARFGAP3/ATP2C1/ATP9A/ATP9B/CCDC93/CEP19/COG1/COG2/COG6/COPB1/COPB2/COPG1/CORO7/CSK/DNM2/EXOC6/EXOC8/GAK/GOLGA4/GOLGA7/KDELR2/KIF1C/LLGL1/LYPLA1/LYPLAL1/NAPG/NKD2/NSF/P4HB/PGAP1/PHAF1/PITPNB/PPP6C/PREB/RAB10/RAB14/RAB1B/RAB33B/RAB3IP/RAB6B/RAB8A/RABEP1/RABGGTA/RABGGTB/RABIF/RBSN/RNF139/SCAMP2/SEC16A/SEC22C/SEC24C/SEC24D/SNAP23/SNX12/SORCS1/SPAST/SPIRE2/SPTBN1/STX17/STXBP5/TBC1D20/TEX261/TMED3/TMED4/TMEM115/TRAPPC1/TRAPPC11/TRAPPC3/TRAPPC5/TRAPPC9/VAMP3/VAPA/VAPB/VPS13C/VTI1B/WDR44/YIF1A/YIPF7/YWHAE",81
"GO:0071826","GO:0071826","protein-RNA complex organization","64/3308","240/18860",0.266666666666667,1.52035469568722,3.74165910636727,0.000254143884555308,0.00987935507555823,0.00872876112042314,"ADAR/AGO1/ATM/BOP1/CELF4/DDX39B/DDX42/DHX9/DICER1/DKC1/EIF2D/EIF2S2/EIF2S3/EIF3A/EIF3B/EIF3K/EIF4H/FASTKD2/GEMIN2/GEMIN4/HSP90AA1/HTATSF1/KIF5B/LSM2/LSM4/LUC7L/MTG1/PRKDC/PRPF6/PTBP2/PTGES3/PWP2/RBMX2/RNU6ATAC/RPL10L/RPL13A/RPL5/RPS15/RPSA2/RRP7A/RRP7BP/RSRP1/SART1/SCAF11/SF1/SF3A2/SF3B1/SNRPD2/SRPK1/SRPK2/SRSF1/SRSF10/SRSF12/SRSF5/SRSF6/SRSF9/STRAP/TAF12-DT/TSSC4/TXNL4A/U2AF2/USP39/YTHDC1/ZRSR2",64
"GO:0006998","GO:0006998","nuclear envelope organization","23/3308","63/18860",0.365079365079365,2.08143797623846,3.96530481430496,0.00025534730933064,0.00987935507555823,0.00872876112042314,"BROX/CDK1/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP7/CTDNEP1/DCTN1/EMD/ICMT/NEK6/NUP155/PAFAH1B1/PRKCA/RCC1/SPAST/TMEM170A/TMEM43/TOR1B/UBE2I/VPS4B",23
"GO:1902893","GO:1902893","regulation of miRNA transcription","26/3308","75/18860",0.346666666666667,1.97646110439339,3.90776948737042,0.000272998872875272,0.0104302631867909,0.00921550800475672,"BMP2/BMPR1A/EGR1/FOXA1/FOXO3/GATA2/MRTFB/MYB/NCOR2/NFATC3/NFIB/NOTCH3/NR1H2/PAX6/POU2F1/PPARA/PPARG/RELA/SMAD4/SMAD6/SMARCA4/SREBF1/SREBF2/TEAD1/TWIST1/YY1",26
"GO:2000036","GO:2000036","regulation of stem cell population maintenance","26/3308","75/18860",0.346666666666667,1.97646110439339,3.90776948737042,0.000272998872875272,0.0104302631867909,0.00921550800475672,"ACTB/ARID4A/BCL7A/BCL7B/BICRA/BMP7/CNOT1/DPF2/HMGA2/ING1/ING2/KDM3A/LBH/RBBP7/SAP130/SAP30/SINHCAF/SIRT6/SMARCA4/SMARCB1/SMARCC1/SS18/SUDS3/TEAD4/WDR43/ZNF322",26
"GO:0061952","GO:0061952","midbody abscission","12/3308","24/18860",0.5,2.85066505441354,4.18396517700273,0.000276863101078342,0.0105121996080242,0.00928790174326885,"CEP55/CHMP1A/CHMP2A/CHMP2B/CHMP3/CHMP5/CHMP7/MITD1/PDCD6IP/SPART/VPS4B/ZFYVE19",12
"GO:0010586","GO:0010586","miRNA metabolic process","34/3308","108/18860",0.314814814814815,1.79486318240853,3.82058106235114,0.000290034257337079,0.0109443173771701,0.00966969314097825,"AGO1/BMP2/BMPR1A/DICER1/EGR1/ELOB/FOXA1/FOXO3/GATA2/KHSRP/MRTFB/MYB/NCOR2/NFATC3/NFIB/NOTCH3/NR1H2/PARN/PAX6/POU2F1/PPARA/PPARG/QKI/RELA/SMAD4/SMAD6/SMARCA4/SREBF1/SREBF2/TEAD1/TENT2/TWIST1/XPO5/YY1",34
